program,status,object,boundary
ST1002,constructed_typed_ontology,TotalBeing_TypeLedger,"Typing is a proposed formalization of the user's ontology, not a strict-core derivation."
ST1003,proven_zero_excluded_from_unit_sphere,HilbertSphere_ZeroExclusion,Applies only if the total state is represented on a normalized Hilbert sphere.
ST1004,proven_zero_has_no_projective_ray,ProjectiveState_ZeroExclusion,"Projective quantum-state semantics is conditional, not strict-derived FIN ontology."
ST1005,proven_zero_excluded_from_probability_simplex,Simplex_ZeroExclusion,Applies to normalized probability/information states.
ST1006,proven_strict_unitary_preserves_total_state_manifold,StrictUnitary_TotalStateInvariance,"Protects global normalization, not a chosen internal pattern."
ST1007,proven_strict_heat_preserves_total_mass,StrictHeat_TotalMassInvariance,Heat is an internal coarse dynamics only after the probability embedding is supplied.
ST1008,proven_internal_pattern_can_decay_while_total_state_persists,InternalPatternDecay_NotOntologicalDeath,Finite-time sample plus spectral theorem; this is not a soliton theorem.
ST1009,proven_vacuum_and_nothing_are_different_types,Vacuum_NotNothing,The identification vacuum=nothing is rejected as a category error.
ST1010,constructed_cemetery_state_extension,CemeteryState_Extension,This explicitly adds a state not present in the closed normalized model.
ST1011,proven_killing_requires_generator_or_hazard_extension,KilledEvolution_RequiresNewLaw,"Countermodel is additional dynamics, not FIN-derived."
ST1012,proven_internal_annihilation_is_undefined_without_target,AnnihilationQuestion_WellPosedness,"A no-transition result by state-space closure is structural, not a force law."
ST1013,ontology_rejects_external_pump_as_fundamental_explanation,ExternalPump_OntologyConflict,An effective subsystem may be pumped by another internal sector.
ST1014,constructed_closed_internal_circulation_example,InternalCirculation_ClosedResource,Toy conservation witness only; no strict source for this three-sector current.
ST1015,proven_minimal_total_persistence_premise_list,TotalPersistence_MinimalPremises,FIN has not yet derived all premises as one theorem.
ST1016,recommended_ST1017_ST1031,RoundOne_Recommendation,Recommendation follows the newly typed total-being lane.
