program,status,headline
P351,[Proven] exact rational interval Krawczyk primal certificate,exact Krawczyk certificate closes the envelope primal box
P352,[Proven] exact rational interval primal-dual enclosure,the oscillatory signed resource receives a theorem-grade enclosure
P353,[Blocked by external evidence] no admitted independent QW hold-out,the independent QW hold-out gate remains external
P354,[Proven] isomorphism naturality; [Refuted] unrestricted homomorphism naturality,"radial kernels are natural for isomorphisms, not all homomorphisms"
P355,[Moderate evidence] loss-aware synthetic compiled-mesh digital twin,a declared lossy mesh digital twin quantifies robustness
P356,[Blocked by external evidence] no admitted photonic_hardware execution bundle,no calibrated photonic hardware bundle is admitted
P357,[Proven] structural full-comb optimum at an exact convex-zero witness; [Strong evidence] four finite FIN witness instances,perfect parallel witnesses solve the full comb optimum at four points
P358,[Proven] minimax maximum-gap design and sample-count bound,equispacing is minimax for the anchored bounded-curvature clock
P359,[Proven] completeness and no catalysis in the declared additive preorder,the five-resource additive preorder is complete and catalyst-free
P360,[Proven] analytic amplitude-phase nonuniqueness; [Refuted] amplitude alone determines the frozen strict phase,inner analytic factors obstruct amplitude-to-phase uniqueness
P361,[Blocked by external evidence] conditional EW blind test not admitted,the conditional electroweak blind-test gate remains external
P362,[Proven] log-covariance pushforward; [Blocked by external evidence] calibrated standards absent,conversion covariance is exact but standards remain external
P363,[Proven] relative independence/necessity in the declared signature,FORC supplies a minimal typed operational resource category
P364,[Blocked by external evidence] no admitted physical_reservoir execution bundle,the certified physical-reservoir gate remains external
