program,status,object,boundary
ST4002,Proven,DimensionlessSpeed,c_hat=sqrtC dimensionless.
ST4003,Missing,LengthUnit,ell_star.
ST4004,Missing,TimeUnit,tau_star.
ST4005,Defined,PhysicalC,c_phys=(ell_star/tau_star)c_hat.
ST4006,Proven,CalibrationOrbit,Scale torsor leaves dimensionless records.
ST4007,No-go,MatchToObservedC,Can fit any c_hat by unit ratio.
ST4008,Proven,ArbitraryConversion,Conversion is free without calibration.
ST4009,Conditional,WaveEquation,Second-order wave uses c_hat.
ST4010,Boundary,HeatClock,Heat scaling differs.
ST4011,Boundary,UnitaryClock,Unitary phase scaling differs.
ST4012,Proven,TwoClockNoGo,Shared A not one refinement clock.
ST4013,Interpretation,CMinMeaning,Minimum only inside chosen positive local class.
ST4014,No-go,PhysicalLowerBoundNoGo,Not a physical lower bound in m/s.
ST4015,Round verdict,RoundEightVerdict,Even a selected C would not supply physical light speed.
ST4016,Recommendation,RoundEightRecommendation,Operational tail test.
