program,status,main_finding
ST28,certified_unique_collision_root_for_frozen_coefficient_model,unique collision root certified for the frozen decimal coefficient model
ST29,proven_state_dependent_algebra_completion_but_no_canonical_orbit_member,generic state completes the algebra but its orbit has no canonical member
ST30,proven_plain_associativity_does_not_reduce_refinement_fiber,plain refinement associativity leaves one free parameter per scale
ST31,failed_low_finite_count_power_at_declared_budget,declared finite-count vertex protocol has inadequate power for the altered channel
ST32,proven_polynomial_information_influence_bound_for_declared_envelope,polynomial long-range propagation bound proven without Markov positivity
ST33,proven_cycle_holonomy_classification_and_single_state_gradient_no_go,reflection permits flux 0 or pi; a single state phase gives only trivial holonomy
ST34,proven_nonzero_minimizer_set_candidate_is_uniform_no_soliton_evidence,"coercivity proves a nonzero minimizer set but the best candidate is uniform, not solitonic"
ST35,blocked_no_offline_toolchain_archive_available,offline Lean replay remains blocked by absent cached toolchain
ST36,proven_linearized_sector_scale_identifiability_and_four_orbit_obstruction,calibrated channels leave one Gibbs orbit; uncalibrated clocks leave four orbits
ST37,strong_synthetic_nuisance_robustness_curve,frozen adversarial detection quantified with noise and clock nuisance
ST38,refuted_single_strict_sourced_vector_joint_closure_in_declared_construction_class,"one state cannot jointly give canonical selection, full algebra and nontrivial flux"
ST39,proven_relative_independence_ledger_from_constructed_countermodels,nine relative independent axiom groups organized by countermodels
ST40,proven_operational_carrier_invariance_under_complete_transport,complete operational transport preserves records across carrier representations
ST41,proven_spectrum_insufficiency_and_defined_complete_operational_invariant,spectrum is incomplete; the operational experiment class is the richer invariant
ST42,proven_conceptual_obstruction_relative_to_operational_information,"carrier-independent information is coherent, realization-free information is not operationally defined"
ST43,proven_conditional_symmetry_breaking_normal_form_and_numerical_orbit_sampling,"symmetry supplies degenerate choices; positive gain, not symmetry, is the feedback"
ST44,proven_symmetry_reservoir_partial_selector_but_not_joint_closure,strict degenerate mode supports conditional selection but only partial algebra closure
ST45,proven_representation_invariance_and_unitary_heat_inequivalence,unitary and heat channels share A but are dynamically inequivalent off the zero mode
