program,status,object,boundary
ST4422,Proven,EntireInterpolation,
ST4423,Proven,GrowthBounds,
ST4424,Proven,ExponentialType,
ST4425,Proven,CarlsonNeedsInfiniteIntegers,
ST4426,Proven,SixValuesInsufficient,
ST4427,Proven,RationalClass,
ST4428,Proven,RecurrenceClass,
ST4429,Proven,OrderParameter,
ST4430,Proven,ModelOrderSelection,
ST4431,Proven,PoleConstraints,
ST4432,Proven,PositivityConflict,
ST4433,Proven,AnalyticPrior,
ST4434,Proven,NoCanonicalClass,
ST4435,Round verdict,RoundVerdict,
ST4436,Recommendation,Next,
