program,status,object,boundary
ST2487,Constructed,PrismLift,Two triangle bases.
ST2488,Proven,IndependentLayerClosure,q=0 factorizes; marginal preserves bottom theta.
ST2489,Constructed,VerticalPairCoupling,q sum_i b_i t_i.
ST2490,Computed exact finite,ExactMarginalWalsh,Walsh coefficients of log marginal.
ST2491,Proven cancellation,GeneratedOneBody,Symmetry cancels one-body terms.
ST2492,Proven cancellation,GeneratedPairBody,All pair Walsh terms vanish.
ST2493,Computed,RenormalizedThreeBody,Only the cubic coefficient changes.
ST2494,Proven exact closure,FamilyClosure,Top marginal depends only on bottom parity.
ST2495,No-go,RefinementParameterQ,q is an additional vertical source.
ST2496,Conditional RG law,TwoStepCoherence,Closure holds but every level needs q_n or a strict recurrence.
ST2497,Proven,CoarseBlindness,Coarse records cannot reconstruct hidden q.
ST2498,Conditional,PrimitiveIncidenceBoundary,"Prism fixes cells and closure shape, not coefficients."
ST2499,Gate fail,RefinementGate,No unique 12-24-48 transport without q_n law.
ST2500,Round verdict,RoundFourVerdict,Symmetric prism marginalization exactly closes the ternary family; q remains unsourced.
ST2501,Recommendation,RoundFourRecommendation,Audit dual dynamics and OA.
