program,status,key_result
"P497","proven_local_ift_plus_numerical_full_coupling_continuation","IPR(kappa=1)=0.654578"
"P498","interval_certified_in_declared_strict_decimal_model","max nonzero Re upper=-0.00193183"
"P499","general_theorem_plus_bounded_nonresonance_certificate","bounded q<=1000000"
"P500","conditional_interval_local_inverse_certificate","c=1.1716e-07"
"P501","analytic_integral_formula_plus_numerical_convergence_evidence","C384 diff=0.00324399"
"P502","closed_form_weight_boundary_plus_numerically_isolated_psd_boundary","t_weight=0.925790039044"
"P503","proven_winding_preservation_with_finite_stress_replay","checks=1500 failures=0"
"P504","exhaustive_finite_synthetic_minimality_certificate","contexts=1 accuracy=0.99925"
"P505","validated_neutral_interface_not_machine_checked","nodes=6 valid=True"
"P506","proven_finite_observation_trajectory_nonidentifiability_plus_local_rank_audit","best distances=[0, 1, 2, 3, 6]"
