program,status,object,boundary
ST2382,Constructed,FullFlagBase,Support clique of strict complete graph.
ST2383,Constructed,Delta11 x I,Canonical after choosing the full flag-complex interpretation.
ST2384,Proven,ProductCellFormula,Product CW formula.
ST2385,Proven exact,ProductCellCounts,k=0..12.
ST2386,Proven exact,EulerCheck,Contractible product.
ST2387,Proven,LowCells,Operational low skeleton.
ST2388,Proven,PrismCountInBundle,One prism for every base triangle.
ST2389,Proven,VerticalSquareCount,One vertical square for every base edge.
ST2390,Proven,VerticalOrbitCount,D12 distance classes.
ST2391,Conditional positive,PrimitiveIncidence,Fixes all product boundary coefficients to primitive integers.
ST2392,Proven,LowCohomology,Full product is contractible.
ST2393,Proven,TwoSkeletonH2,"Before 3-cells, H2 dimension is C2-rank(d1)=506-121."
ST2394,Boundary,CellExplosion,Canonical construction is combinatorially large and nonlocal.
ST2395,Round verdict,RoundThreeVerdict,The full prism bundle repairs conditional incidence globally but inherits full-simplex nonlocality.
ST2396,Recommendation,RoundThreeRecommendation,Audit layer swap and ternary flux.
