program,status,object,boundary
ST2532,Constructed,ConfigurationSpace,Binary state space.
ST2533,Proven,FlipGraph,12-cube single flips.
ST2534,Proven,ReversibleConductanceForm,Every reversible generator is Q_xy=c_xy/pi_x with c_xy=c_yx>0.
ST2535,Proven,DetailedBalanceRatio,"Ratio fixed, product/activity free."
ST2536,Proven no-go,ActivityFreedom,One positive activity per undirected edge.
ST2537,Proven exhaustive,D12OrbitCount,After D12.
ST2538,Proven,OrbitSizes,Exact orbit census.
ST2539,Conditional,StrictEnergyShape,tau fixes energy shape.
ST2540,No-go,ThetaDependency,Generator depends on theta.
ST2541,Conditional,Irreducibility,Positive rates make Q12 connected.
ST2542,Proven,StationaryUniqueness,Finite irreducible chain has unique pi.
ST2543,No-go,RateScale,Q->cQ changes clock only.
ST2544,Proven,GeneratorCone,Detailed-balance generators form a positive cone.
ST2545,Round verdict,RoundOneVerdict,"Stationary Gibbs state does not determine dynamics, even after D12."
ST2546,Recommendation,RoundOneRecommendation,Compare standard rules.
