program,object,status
ST342,Narrow Interval-Certified Coexistence Bracket,proven_local_crossing_in_width_2e_8_bracket
ST343,Full 17-Dimensional Interval Fold-Event Certificate,proven_unique_augmented_root_and_one_dimensional_stationary_kernel
ST344,D12 Orbit-Type Reduction Boundary for the Global Variational Problem,proven_no_go_for_exhaustive_fixed_symmetry_reduction
ST345,Reflection-Orbit Audit of the g=4 Global-Minimizer Conjecture,strong_numerical_evidence_global_reflection_exhaustion_unproved
ST346,D12-Covariant Modal Mediators Coupled to the Simplex,proven_vertex_thresholds_strong_numerical_first_localizing_rank_7
ST347,Degree-Four and Degree-Six Strict Spectral-Energy Invariant Algebra,proven_21_plus_56_basis_classification_in_declared_subalgebra
ST348,Counterexample to Belief-Contraction-Only Chernoff Derivative Closure,proven_counterexample_to_declared_missing_bound_strategy
ST349,Anisotropic Implicit-Slab Strategy Audit,partial_improvement_with_explicit_failed_sections_rotated_coordinates_required
ST350,Continuum Multi-Time Soft-IR Dual and Finite-Band Theorem,proven_finite_dual_support_and_finite_band_structure_grid_optimum_numerical
ST351,Two-Cycle Refinement Scale Cohomology,proven_two_independent_gauge_invariant_holonomies
ST352,Exact Le Cam Depth for Twelve-State Symmetric Confusion Instruments,proven_exact_12_state_permutation_covariant_deficiency
ST353,Sharp Recovery Bounds for a Spectrally Restricted Fiber,proven_matching_lower_upper_bounds_in_declared_Gaussian_model
ST354,Rate-Distortion for a Source Conditioned on the Strict Heat Kernel,proven_transition_and_entropy_rate_numerical_block_rate_distortion
ST355,Multilevel Relative-Clock Drift Separated from Gauge Calibration,proven_product_drift_bounds_and_common_scale_cancellation
ST356,Independent Evidence Gate,blocked_no_independent_events
