program,status,object,boundary
ST3387,Proven,EtaDatum,Strict eta=1.8.
ST3388,Route,EtaAsD,D=eta -> r=2^(1/eta).
ST3389,Route,EtaAsSigma,sigma=eta -> rho=r^eta.
ST3390,Route,EtaAsWalkDimension,d_w=eta.
ST3391,Proven,ThreeRoutes,At least three typed assignments.
ST3392,Computed,RouteValues,"With r=2, sigma=eta gives rho."
ST3393,Proven,NonEquivalence,Assignments give different metrics/dynamics.
ST3394,Proven,SpectralConsequences,Tree spectra change with rho.
ST3395,Guardrail,KernelTailBoundary,Spatial tail exponent is not automatically layer D.
ST3396,Guardrail,LayerEnergyBoundary,No energy theorem transfers eta.
ST3397,Guardrail,LegacyBoundary,Legacy D_f roles remain separate.
ST3398,Fail,SelectionGate,No strict semantic selector.
ST3399,No-go,EtaNoGo,Eta alone cannot close metric-measure-energy triple.
ST3400,Round verdict,RoundFourVerdict,One exponent cannot fill three independent roles without theorem.
ST3401,Recommendation,RoundFourRecommendation,Observer/heat tests.
