program,status,object,boundary
ST3417,Proven,FamilyTheorem,rho-family of positive tree forms.
ST3418,Proven,SpectralNoGo,Same metric/measure different spectra.
ST3419,Proven,ScalingTheorem,D and sigma formulas.
ST3420,No-go,NormalizationNoGo,Natural normalizations conflict.
ST3421,No-go,EtaNoGo,Eta has multiple roles.
ST3422,Boundary,ContinuumBoundary,No heat-kernel limit theorem.
ST3423,No-go,PhysicalBoundary,No clock/energy units.
ST3424,Constructed,Gate,Ten rows.
ST3425,Result,GateScore,Three mathematical passes.
ST3426,Ledger,ProvenLedger,Family/nonuniqueness/scaling.
ST3427,Ledger,ConditionalLedger,"Chosen r,rho and internal diffusion."
ST3428,Ledger,RefutedLedger,Unique physical fractal dynamics.
ST3429,Recommendation,HighestValueNext,Seek a new variational or renormalization fixed-point principle jointly selecting r and rho; otherwise freeze metric-energy family.
ST3430,Final verdict,FinalInterpretation,FIN supplies a natural fractal state space but not a unique resistance form or diffusion physics.
ST3431,Cycle complete,CycleTrigger,Release 11.21.
