program,object,status
ST154,Interaction-Generated Superselection Algebra Compiler,proven_fixed_algebra_classification_for_declared_interactions
ST155,Adaptive Fold-Neighborhood Inclusion and Exclusion Shells,proven_local_neighborhood_cover_without_global_domain_exhaustion
ST156,Optimal Recovery for a Finite Orthogonal Unitary Spectrum,proven_for_general_finite_HS_orthogonal_unitary_error_families
ST157,Sharp Finite-Time Preparation Action Bound,proven_sharp_for_declared_probability_simplex_metric
ST158,Minimal Local Source Shape for C12 Anisotropy,proven_minimal_order_and_exact_projection_coefficient
ST159,Adaptive Interval Cover Beyond the Single-Box Boundary,proven_adaptive_uniform_cover
ST160,Functorial Refinement Cohomology under Coarse-Graining,proven_for_connected_all_odd_DAGs_with_mixed_parity_obstruction
ST161,Atomic Causal-Net Reconstruction from Instrument Tomography,proven_exact_noiseless_reconstruction_criterion
ST162,Certified Fully Hidden Non-Erasure HMM Discrimination,proven_positive_upper_error_exponent_for_declared_hidden_HMM
ST163,Finite-Time and Site-Local Bath Resource Bounds,proven_general_speed_lower_bound_and_two_site_local_upper_construction
ST164,Dimension and Complete Linear Extremality Criterion for the Minimax Spectrahedron,proven_dimension_extremality_criterion_and_partition_family
ST165,Operational FIN Completion Tuple with Axiom Deletion,proven_relative_independence_map_and_conditional_operational_design
