program,status,key_result
"P517","proven_family_level_information_quartic_sign_no_go","information labels do not source focusing fourth jet"
"P518","proven_exact_rational_replay_of_801_exported_inequalities","801 replay inequalities pass=True"
"P519","proven_finite_interval_orbital_stability_sign_tube","turning bracket=[0.722143668857225, 0.722143708857225]"
"P520","strong_numerical_bond_bifurcation_and_mobility_audit","coherent kicks=0"
"P521","conditional_full_augmented_linear_stability_scan","max spectral abscissa=0.672779"
"P522","proven_six_frequency_rational_independence_and_absolute_scale_no_go","det=-3456*sqrt(3)"
"P523","conditional_fft_rounding_model_C384_fractional_certificate","C384 max bound=0.0670791"
"P524","proven_portable_exact_PSD_ledger_replay","boxes=573"
"P525","conditional_nonempty_detector_error_polytope","trial TV=0.161408"
"P526","proven_finite_record_law_no_free_lunch_with_conditional_model_ranking","selections=[{'ridge': 0.0, 'selected_degree': 3}, {'ridge': 1e-06, 'selected_degree': 2}, {'ridge': 0.0001, 'selected_degree': 3}, {'ridge': 0.01, 'selected_degree': 2}]"
