program,object,status
ST357,Interval-Certified Simple Fold Normal Form,proven_local_simple_saddle_node_fold
ST358,Entropy-Convex Global and Cell Lower-Bound Theorem,proven_lower_bound_primitive_too_loose_for_global_closure
ST359,Certified Counterexample to One-Step Reflection Rearrangement,proven_all_reflection_averages_raise_objective_for_explicit_state
ST360,Post-Falsification Global-Minimizer Strategy Boundary,bounded_no_go_for_current_symmetry_plus_root_bound_strategy
ST361,Certified Rank-Seven Modal-Mediator Localized Minimum,proven_strict_local_minimum_beating_uniform_vertices_boundary_excluded
ST362,Full D12 Molien Count through Degree Eight,proven_full_invariant_dimensions_explicit_basis_deferred
ST363,Normalized Chernoff Pressure-Derivative Audit,proven_uniform_normalized_bound_numerical_convergence_only
ST364,Rotated Tangent/Transverse Interval Implicit-Function Slab,proven_continuous_local_branch_slab
ST365,Certified Zeros and Corrected Band Count for the Frozen IR Dual,proven_three_simple_zeros_two_selected_bands_for_frozen_dual
ST366,Exact LP for General Twelve-State Cyclic Observer Deficiency,proven_convolution_LP_and_explicit_incomparability
ST367,Finite-Sample Multinomial Fiber Recovery Bounds,proven_nonasymptotic_upper_and_two_point_lower_bounds
ST368,Block-Three and Block-Four Strict-Heat Rate-Distortion,strong_numerical_block3_block4_curves_block5_stopped
ST369,Martingale Concentration for Multilevel Relative Clocks,proven_conditional_sqrt_depth_concentration
ST370,Strict Active-Coupling Source Admission Gate,blocked_no_new_strict_typed_source
ST371,Independent Evidence Gate,blocked_no_independent_events
