program,status,headline
P281,[Proven] conditional compactness/existence; [Strong evidence] bounded recovery audit,bounded priors prevent runaway poles but do not prove uniform stability
P282,[Proven] machine-checked exact rational witness,"Lean checks an exact rational Schur witness, not the general theorem"
P283,[Proven] Naimark/isometry realization and calibration rank; [Strong evidence] frozen detector audit,abstract Naimark dilation and calibrated detector rank are explicit
P284,[Proven] PSD rank-restoring complement theorem; [Refuted] as exact strict fixed point,complement dynamics restores rank but not the strict fixed point
P285,[Proven] conditioned two-step quantum process ledger,two-step quantum information ledger closes conditionally
P286,[Refuted] as sufficient legacy-to-strict completion atom,one legacy fractal-compression atom is insufficient
P287,[Executed no-admission certificate: external evidence absent],no independent P241 bundle; P242 remains blocked
P288,[Strong evidence] frozen detector-level likelihood audit,detector likelihood has a finite optimal flux separation
P289,[Strong evidence] importance-sampled ensemble probability,false-positive probability is ensemble-specific
P290,[Proven] distinct frozen noiseless templates; [Strong evidence] synthetic causal classification,three times plus intervention separate only the frozen mechanism panel
P291,[Strong evidence] frozen maximin intervention search,persistent excitation improves local adaptive-law identifiability
P292,[Strong evidence] preregistered primary-task replication,NARMA10 advantage receives a multi-seed replication test
P293,[Proven] conditioned finite-step erasure ledger,Landauer accounting closes only with supplied physical resources
P294,[Proven] finite product-torsor section theorem,a pointed resource torsor gives a unique section but not its source
