program,status,object,boundary
ST1842,proven_strict_weight_support_graph_is_complete_K12,CompleteSupportGraph,All pair weights positive.
ST1843,proven_edge_only_connection_mod_vertex_gauge_has_55_cycle_degrees,OneSkeletonCycleRank,Connected graph cycle rank.
ST1844,proven_complete_support_has_220_triangle_cliques,TriangleFaceCount,Candidate 2-cells.
ST1845,proven_triangle_to_edge_boundary_map_has_rank_55,TriangleBoundaryRank,All one-cycle homology killed when triangles attached.
ST1846,proven_full_clique_complex_of_K12_is_contractible_11_simplex,CliqueComplexTopology,No nontrivial H1/topological gauge sector.
ST1847,proven_without_2_cells_no_local_curvature_action_is_defined,NoFaceGaugeDegrees,55 holonomies remain modulo gauge.
ST1848,proven_zero_all_triangle_holonomies_make_U1_connection_pure_gauge_on_clique_complex,AllTriangleFlatness,Simply connected.
ST1849,constructed_infinite_Wilson_action_family_on_triangles,WilsonActionFamily,Additional coefficients.
ST1850,proven_edge_weights_do_not_uniquely_determine_face_areas_or_Wilson_coefficients,FaceWeightNonuniqueness,"Product, mean, minimum and external areas all possible."
ST1851,constructed_distance_band_threshold_topology_ladder,BandThresholdTopology,Every threshold is an extra choice.
ST1852,proven_nearest_neighbor_C12_has_H1_dimension_one_but_discards_54_strict_edges,C12Contrast,Not selected by nonzero support.
ST1853,proven_complete_support_has_no_graph_geodesic_locality_or_large_diameter,GraphLocalityNoGo,Diameter one conflicts with emergent extended space unless weights/refinement add metric.
ST1854,blocked_no_canonical_2_complex_face_area_or_3plus1_scaling_for_Maxwell_limit,MaxwellContinuumBoundary,Gauge matter action does not generate gauge dynamics.
ST1855,round_three_falsifies_support_graph_as_unique_gauge_curvature_geometry,RoundThree_Verdict,Conditional clique or band complexes remain possible.
ST1856,recommended_ST1857_ST1871,RoundThree_Recommendation,Test exact refinement transport and whether it selects locality/dimension.
