program,status,object,boundary
ST2712,Defined,RateScalingOrbit,"Q_c=cQ, c>0."
ST2713,Proven,StationaryInvariance,pi Q=0 iff pi cQ=0.
ST2714,Proven,DetailedBalanceInvariance,Rate ratios unchanged.
ST2715,Proven,JumpChainInvariance,P_xy=Q_xy/(-Q_xx) unchanged.
ST2716,Proven,UntimedPathInvariance,Ordered visited states have same law.
ST2717,Proven,WaitingTimeScaling,Holding times divide by c.
ST2718,No-go,EquilibriumRecordNoGo,Stationary statistics contain no c.
ST2719,No-go,CountRecordNoGo,Jump counts without calibrated duration contain no c.
ST2720,Proven necessity,TimestampRequirement,Calibrated waiting times or duration required.
ST2721,Boundary,InternalTimeParameter,A dimensionless t can parameterize but not calibrate.
ST2722,No-go,PhysicalSecondsBoundary,No seconds from dimensionless c.
ST2723,Proven,ScaleTorsor,Generators with same jump chain form R+ torsor.
ST2724,Proven theorem,IdentifiabilityTheorem,Every timestamp-free operational invariant factors through Q modulo positive scaling.
ST2725,Round verdict,RoundOneVerdict,Clock magnitude is unidentifiable without a calibrated temporal record.
ST2726,Recommendation,RoundOneRecommendation,Test A-moment matching.
