program,object,status
ST130,Strict Functional-Calculus Fine-Gauge No-Go,proven_no_fine_U12_source_in_declared_strict_functional_calculus_class
ST131,Diagonal Noncirculant Face and Rank-Jump Classification,proven_exact_twelve_dimensional_noncirculant_face_and_low_rank_no_go
ST132,Independent Fold-Center Discovery and Interval Isolation,proven_local_root_isolation_without_prior_center_input
ST133,Optimal Recovery after Depolarizing Noisy Pinching,proven_optimal_recovery_for_declared_depolarizing_pinching_noise
ST134,Minimal-Rank Symmetry-Breaking State and Vanishing Source-Cost Infimum,proven_rank_one_sufficiency_and_zero_cost_infimum
ST135,Pumped Strict-Mode Orbital Stability and Degeneracy Obstruction,proven_orbital_stability_for_constructed_decoupled_mode_model_and_selection_obstruction
ST136,Parametric Chernoff Stationary-Design Certificate,proven_uniform_local_stationary_root_over_declared_nuisance_box
ST137,Finite Refinement-Diagram Affine-Cohomology Classification,proven_general_path_independence_criterion_and_finite_diamond_exhaustion
ST138,Conditional Independence Cannot Select Its Own Gauge Algebra,proven_finite_counterexample_to_gauge_selection_by_untyped_conditional_independence
ST139,Finite-Count Bounds under Certified Finite-Range Dependence,proven_exact_finite_count_law_for_declared_m_dependent_block_model
ST140,Matched-Gap Qubit Thermal Dilation,proven_exact_selected_gap_dilation_and_full_system_no_go_for_one_bath_qubit
ST141,Noisy Minimax Observation on a Non-Diagonal Graph-Feasible Perturbation Class,proven_exact_minimax_value_for_declared_nondiagonal_face_and_noise
