program,status,object,boundary
ST672,proven_spatial_dimension_product_family_nonidentifiability,SpatialDimension_ProductFamily_NoGo,Product carriers are conditional; a new dimension/topology source is required.
ST673,proven_conditional_Ddimensional_isotropic_symbol_family,Ddimensional_Isotropic_LeadingSymbol,Equal leading speed across D strengthens rather than resolves dimension nonidentifiability.
ST674,proven_infinite_gauge_complex_fiber_over_scalar_laplacian,GaugeComplex_HarmonicExtension_Nonuniqueness,Additional locality/cell axioms may reduce the fiber but are not supplied by the scalar spectrum.
ST675,proven_conditional_discrete_Maxwell_energy_and_constraint,Conditional_Discrete_Maxwell_Energy_Gauss,"The complex, coefficients, initial Gauss sector and Hamiltonian are added."
ST676,proven_conditional_cubic_Maxwell_transverse_dispersion,Cubic_Maxwell_Transverse_Dispersion,"This is standard conditional lattice gauge kinematics, not a FIN-derived photon."
ST677,proven_conditional_two_transverse_polarizations,TwoPolarization_Mode_Count,"Quantization, helicity source and photon statistics are absent."
ST678,proven_gauge_speed_impedance_modulus,ElectricMagnetic_Coefficient_Speed_Modulus,"No FIN law selects kappa_E, kappa_B or their dimensions."
ST679,proven_gauge_coupling_unit_obligation,GaugeCoupling_Unit_Obligation,No electromagnetic fine-structure constant or charge is transferred from legacy claims.
ST680,proven_scalar_endpoint_dimension_gauge_selector_no_go,ScalarEndpoint_DimensionGauge_Selector_NoGo,Fine vector/gauge records or new source axioms can leave the no-go class.
ST681,proven_gauge_wave_clock_compatibility_and_dual_separation,GaugeWave_TwoClock_Compatibility,Clock normalizations and gauge coefficients remain supplied.
ST682,proven_finite_spacing_Maxwell_Lorentz_obligations,FiniteSpacing_Maxwell_Lorentz_Defect,No full convergence theorem or boost action on records is exported.
ST683,constructed_conditional_gauge_light_record_schema,GaugeLight_Operational_Record_Schema,A schema is not a laboratory realization or evidence.
ST684,blocked_no_dimension_gauge_source,DimensionGauge_Source_Gate,No strict light sector is generated.
ST685,blocked_no_physical_Maxwell_photon_closure,Physical_MaxwellPhoton_Gate,"No SM/GR, apparatus, or ToE closure."
ST686,blocked_no_independent_empirical_evidence,Independent_Evidence_Gate,Round three is local analytic/computational work.
