program,object,status
ST387,Adaptive Continuation Bottleneck at the Fold Core,partial_two_regular_flanks_certified_fold_core_requires_new_centers
ST388,Positivity-Refined Two-Variable Global Envelope,proven_global_envelope_certificate_with_sub_1e_3_residual
ST389,Twelve-Cap Fisher Curvature and Global Exhaustion,proven_twelve_cap_strict_convexity_and_global_exhaustion
ST390,Exact Global Minimizer Orbit for the Strict g=4 Functional,proven_exactly_twelve_global_minima_one_D12_orbit
ST391,Rank-Seven Cap-Method Nontransfer Audit,bounded_no_go_for_transferring_the_strict_cap_proof_to_rank7
ST392,Primitive D12 Invariant Quotients through Degree Six,proven_exact_modular_generator_quotients_and_declared_syzygies
ST393,Instrument-Relative Sextic Identifiability,proven_56_vs_365_exact_observer_rank_separation
ST394,Quantitative Cone Gap for the Synthetic Chernoff Transfer,proven_conditional_explicit_but_extremely_weak_gap_constant
ST395,Robust Continuum IR Parameter Tube,proven_uniform_two_band_continuum_IR_parameter_tube
ST396,Sampled Continuum IR Phase Diagram,strong_numerical_two_band_region_with_unresolved_grid_points
ST397,Exact Positive-Deficiency Fourier/LP Equality Family,proven_exact_one_parameter_equality_and_directional_asymmetry
ST398,Calibration-Induced Minimax Recovery Floor,proven_conditional_two_point_nonidentifiability_lower_bound
ST399,Asymptotic Rate-Distortion Existence for the Strict-Heat Markov Source,proven_conditional_operational_limit_and_geometric_mixing
ST400,Non-Gaussian m-Dependent Multilevel Clock Concentration,proven_conditional_Bernstein_square_root_depth_bound
ST401,Strict Source and Independent Evidence Admission Gate,blocked_no_new_source_or_independent_record
