program,object,status
ST233,State-Typed Multiplication Operator and Layer-Order Witness,proven_conditional_noncommuting_second_operator_with_explicit_source_boundary
ST234,Transcendental-Interval Certification of the Twelve Vertex Atoms,proven_twelve_Blackwell_ratio_classes_on_complete_strict_input_enclosure
ST235,Stabilizer Classification of State-Conditioned Equivariant Noise,proven_conditioning_resource_theorem_and_selector_location
ST236,Bounded All-Branch Continuation and Certified Finite Component Graph,proven_bounded_finite_30_component_certified_branch_graph
ST237,Rational Primal--Dual Recovery for a Nonunital Negative-Orientation Channel,proven_global_CPTP_optimum_with_rational_Choi_primal_dual_witness
ST238,Verified Continuous-Time Selector Thermodynamic Optimum,proven_unique_continuous_optimum_with_interval_quadrature_certificate
ST239,Nonlinear Carrier-Chart Obstruction and Connection-Corrected Response Bundle,proven_counterexample_and_conditional_covariant_completion
ST240,Adaptive Subdivision Separating Certificate Failure from Root Loss,proven_stratified_64_parent_method_failures_resolved_by_512_children
ST241,Asymptotically Sharp Correlated Six-Mode Minimax Constants,proven_conditional_LAN_minimax_constants_and_cluster_inflation
ST242,Balanced Higher-Dimensional Clifford Polar Projection,proven_unique_global_fixed_X_projection_for_all_balanced_dimensions_with_invertible_odd_block
ST243,Finite-Block Chernoff Optimizer and Conservative Asymptotic Rate Bracket,strong_numerical_unique_n16_optimizer_and_conservative_rate_bracket
ST244,Complete Work--Information Ledger for Reversible Register Reset,proven_resource_accounting_identity_and_Landauer_recycling_bound
ST245,Complete Self-Adjoint Finite-Fiber Diffusion-Refinement Classification,proven_block_classification_and_nonuniqueness_moduli
ST246,Exact Spectral-Dimension Flow under Repeated Two-Child Refinement,proven_heat_trace_formula_with_computational_constant_and_geometric_rate_atlases
ST247,External Laboratory Evidence Stop,blocked_no_external_record
