program,status,object,boundary
ST1917,proven_positive_D12_natural_face_measures_form_Rplus12_orbit_weight_cone,OrbitWeightCone,One coefficient per triangle orbit.
ST1918,proven_each_five_orbit_minimal_complex_retains_Rplus5_measure_cone,FiveOrbitMinimumCone,Topology/minimality does not fix weights.
ST1919,constructed_five_positive_automorphism_natural_edge_derived_face_rules,EdgeDerivedRules,All use only boundary edge weights.
ST1920,proven_edge_derived_rule_vectors_span_rank_five,RuleVectorRank,Finite numerical rank with large separation.
ST1921,proven_natural_positive_rules_are_not_globally_proportional,NonProportionalMeasures,Product/geometric ratio varies by orbit.
ST1922,proven_scaling_homogeneity_does_not_select_unique_rule,HomogeneityClasses,Arithmetic/geometric/min/max all degree one; product degree three.
ST1923,proven_arbitrary_positive_symmetric_functions_of_two_independent_edge_ratios_preserve_degree_one_naturality,RatioFunctionFreedom,Infinite functional freedom.
ST1924,proven_discrete_Hodge_star_on_2forms_depends_on_face_inner_product_measure,HodgeStarDependence,EOM/gauge spectrum changes with weights.
ST1925,proven_Wilson_action_has_independent_overall_gauge_coupling_even_after_relative_face_measure_choice,WilsonCouplingFreedom,Scale remains free.
ST1926,blocked_no_face_area_length_squared_or_action_unit_from_dimensionless_edge_weights,DimensionalAreaGap,CA/scale problem reappears.
ST1927,maximum_entropy_face_measure_requires_reference_measure_and_constraints,MaximumEntropyBoundary,Not source-free selector.
ST1928,proven_existing_kernel_moments_or_Shannon_scalar_do_not_choose_one_orbit_weight_vector,MomentEntropyNoSelector,Scalar data insufficient for 12-dimensional cone.
ST1929,proven_no_unique_natural_positive_face_measure_from_current_edge_weights_and_basic_axioms,MeasureNoGo,Explicit rank-five counterfamily plus infinite ratio functions.
ST1930,round_two_falsifies_face_measure_uniqueness_even_after_face_set_choice,RoundTwo_Verdict,Need refinement/energy principle.
ST1931,recommended_ST1932_ST1946,RoundTwo_Recommendation,Test whether exact refinement functoriality selects faces/weights.
