program,object,status
ST278,Entropy-Induced Degree-12 Phase Term and Coupling-Source Obstruction,proven_exact_anisotropy_and_conditional_bifurcation_with_unsourced_negative_coupling
ST279,Complete Hilbert Basis of Polynomial D12 Equivariants,proven_complete_free_rank_two_equivariant_module
ST280,Finite Certified Stop Around the Seed-23 Near-Rank Event,proven_three_box_rank_exclusion_with_continuous_minimum_unresolved
ST281,General Binary-Qubit Measure-and-Prepare Recovery Theorem,proven_global_recovery_formula_for_arbitrary_binary_qubit_outputs
ST282,Rationalized-Preconditioner Replay of the ST267 Selector Certificate,proven_independent_outward_Krawczyk_replay
ST283,Exact Nonlinear-Refinement Counterexample to Ambient-Flat Naturality,proven_counterexample_and_intrinsic_projection_repair
ST284,Adaptive Repair of the Halfwidth-0.00075 Nuisance Cover,proven_complete_adaptive_00075_cover
ST285,Variance-Adaptive Empirical-Bernstein Regions for Clustered Modes,proven_conditional_finite_sample_confidence_formula_with_no_uniform_dominance
ST286,Even-Dimensional Clifford Nonuniqueness by Exact Tensor Lifts,proven_continuum_counterexamples_in_every_even_complex_dimension
ST287,Finite-Depth Interval-Derivative Bracket for the Chernoff Parameter,proven_finite_depth_bracket_infinite_depth_optimizer_still_open
ST288,Autonomous Finite Controlled-SWAP and Catalytic/Reset Resource Split,proven_exact_autonomous_controller_and_conditional_reset_bound
ST289,Coassociative 12-to-24-to-48 Unlabelled Refinement Classification,proven_one_modulus_survives_coassociativity_and_level_exchange
ST290,Classification of Near-Haar Trace-Class Densities and a Sharp Cutoff Tradeoff,proven_ir_classification_and_sharp_tradeoff_in_declared_hard_cutoff_class
ST291,Executable Fail-Closed Validator for the ST276 Instrument and Custody Schema,proven_executable_schema_validator_with_synthetic_self_test_only
ST292,Independent Raw-Event Evidence Gate,blocked_no_independently_registered_raw_events
