program,status,key_result
"P527","proven_minimal_auxiliary_field_focusing_sign_mechanism","positive mediator forces attractive quartic; magnitude remains free"
"P528","proven_exact_rational_replay_of_O223_415_boxes","208 charts + 207 bridges replayed"
"P529","strong_conservation_controlled_nonlinear_stability_falsification_audit","stable-side bounded; negative-VK perturbation grows"
"P530","strong_numerical_realization_dependence_and_no_DC_stability_inference","static memory equivalence does not imply dynamical equivalence"
"P531","proven_linear_translation_no_go_plus_nonlinear_candidate_scan","best nonlinear residual=0.494584"
"P532","proven_torus_equidistribution_with_quantitative_dimensionless_recurrence","best q=1752344"
"P533","computer_assisted_outward_interval_FFT_fractional_context_certificate","max C384-limit bound=0.0650747"
"P534","proven_independent_rational_PSD_reverification","exact class agreements=573/573"
"P535","conditional_executable_inverse_detector_budget","minimum TV lower=0.0470446"
"P536","proven_prior_fiber_nonidentifiability_with_conditional_rankings","finite records identify a prior-dependent law fiber"
