program,object,status
ST327,Interval-Certified First-Order Energy Crossing,proven_at_least_one_local_branch_energy_crossing_in_0005_bracket
ST328,Localized-Branch Spinodal Candidate and Certificate Boundary,strong_numerical_evidence_for_simple_fold_interval_certificate_open
ST329,Compact Dual Sublevel Theorem and Frozen-Cover Feasibility No-Go,proven_compactness_reduction_resource_bounded_tensor_cover_not_executed
ST330,Optimal Lower-Rank Conservative Mediator Classification,proven_exact_rank_error_tradeoff_by_spectral_truncation
ST331,Strict-Invariant Quartic Stabilizer Shape and Coefficient Obstruction,proven_admissible_stabilizer_shape_coefficient_remains_unsourced
ST332,Projective Memory-Tail Theorem and Chernoff Weight Obstruction,proven_belief_observable_tail_full_derivative_tail_open
ST333,Attempted Overlapping Implicit-Function Slabs,bounded_enclosure_attempt_incomplete_with_explicit_failed_sections
ST334,Multi-Time Soft-IR Convex Dual and Threshold-Band Structure,proven_finite_measure_LP_dual_structure_plus_numerical_grid_solution
ST335,Gauge-Invariant Scale Holonomy on the Minimal Refinement Cycle,proven_one_cycle_holonomy_classification
ST336,Exact Le Cam Observer Depth for Partial Child Resolution,proven_exact_deficiency_metric_in_binary_symmetric_instrument_family
ST337,Finite-Count Lower Bound for Fiber Recovery,proven_scalar_two_point_lower_bound_and_dimension_scaling_requirement
ST338,First FIN-Style Markov Branch Rate--Distortion Model,strong_numerical_block_rate_distortion_for_declared_correlated_state_class
ST339,Stability Bounds for Relative Clocks under Approximate Refinement,proven_Weyl_ratio_bounds_for_approximate_coarse_intertwining
ST340,Cross-Channel Dimensional Rank and Identifiability Audit,proven_rank_count_and_raw_operator_dimension_incompatibility
ST341,Independent Evidence Gate,blocked_no_independent_events
