program,status,object,boundary
ST4977,Classified,no_section_Objective,Declared scope.
ST4978,Audited,no_section_Input,Prior strict/legacy packets.
ST4979,Constructed,no_section,Mathematical type separated.
ST4980,Proven or inherited,no_section_CoreStatement,Within declared class.
ST4981,Recorded,no_section_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4982,Retained,no_section_PositiveContent,No overpromotion.
ST4983,Retained,no_section_Counterexample,Alternative representative or symmetry orbit.
ST4984,Passed boundary,no_section_SymmetryTest,Invariant data do not select free orbit member.
ST4985,Proven boundary,no_section_RemovalTest,Removing extra structure restores ambiguity.
ST4986,Classified,no_section_StrictStatus,Only fiber-invariant content is strict.
ST4987,Not established,no_section_PhysicalStatus,Units/OA/evidence checked separately.
ST4988,Separated,no_section_LegacyStatus,No silent role transfer.
ST4989,Installed,no_section_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4990,Round verdict,no_section_RoundVerdict,Adaptive output.
ST4991,Recommendation,no_section_NextDependency,Next theme follows from this boundary.
