program,status,object,boundary
ST4872,Classified,state_preparation_Objective,Declared scope.
ST4873,Audited,state_preparation_Input,Prior strict/legacy packets.
ST4874,Constructed,state_preparation,Mathematical type separated.
ST4875,Proven or inherited,state_preparation_CoreStatement,Within declared class.
ST4876,Recorded,state_preparation_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4877,Retained,state_preparation_PositiveContent,No overpromotion.
ST4878,Retained,state_preparation_Counterexample,Alternative representative or symmetry orbit.
ST4879,Passed boundary,state_preparation_SymmetryTest,Invariant data do not select free orbit member.
ST4880,Proven boundary,state_preparation_RemovalTest,Removing extra structure restores ambiguity.
ST4881,Classified,state_preparation_StrictStatus,Only fiber-invariant content is strict.
ST4882,Not established,state_preparation_PhysicalStatus,Units/OA/evidence checked separately.
ST4883,Separated,state_preparation_LegacyStatus,No silent role transfer.
ST4884,Installed,state_preparation_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4885,Round verdict,state_preparation_RoundVerdict,Adaptive output.
ST4886,Recommendation,state_preparation_NextDependency,Next theme follows from this boundary.
