program,object,status
ST82,Independent Rational-Interval Regeneration of the ST58 Memory Collision,blocked_independent_regeneration_fallback_replay_only
ST83,Simple-Fold Certification Attempt,strong_numerical_simple_fold_evidence_but_interval_goal_not_met
ST84,Passive Stieltjes-Memory Temporal-Gain Obstruction,proven_passive_memory_no_go_for_intrinsic_active_gain
ST85,State/Boundary Classification of C24 Spin Lifts,proven_conditional_spin_lift_classification_and_strict_nonselection
ST86,Exact Coarse-Projection Fiber Theorem for Dyadic FIN Lifts,proven_exact_projection_fiber_and_nonidentifiability_theorem
ST87,Robust Chernoff-Likelihood Nuisance Optimization,strong_numerical_global_nuisance_optimization_for_declared_synthetic_model
ST88,Reversible Faces of the ST75 Intertwiner Cone,proven_full_space_irreversibility_and_quotient_reversible_face_classification
ST89,Explicit Gibbs-Preserving versus Thermal-Operation Separation,proven_explicit_GP_not_thermal_operation_counterexample
ST90,Reflection-Reduced Disconnected-Branch Multistart Search,moderate_numerical_branch_inventory_not_exhaustive
ST91,Dynamic Exchange of Stability in the Constructed Twelve-Branch Backreaction,proven_conditional_local_dynamic_bifurcation_for_constructed_model
ST92,Finite Strict-Generated Reflection-Odd Object Search,proven_no_go_in_declared_strict_generated_class
ST93,Machine-Readable FIN Projection-Hypothesis Dependency Graph,proven_dependency_DAG_and_open_projection_source_inventory
