program,status,object,boundary
ST2922,Proven,PositiveFeedback,q>0 increases |m| for 0<|m|<1.
ST2923,Proven,NegativeFeedback,q<0 decreases |m|.
ST2924,Proven,NeutralFeedback,q=0 identity.
ST2925,Proven,MagnitudeMonotonicity,Strict monotonic inequalities.
ST2926,Conditional,EntropyDirection,Positive q orders; negative q disorders.
ST2927,Proven,SmallQWeakness,First effect cubic in q.
ST2928,Boundary,LargeQBoundary,q->+-infinity gives r->+-1.
ST2929,Proven,NoPolarity,Both theta signs treated symmetrically.
ST2930,Boundary,InformationGainBoundary,Ordering is not physical information creation without dynamics/resource.
ST2931,Boundary,ErasureBoundary,Attenuation is not thermodynamic destruction.
ST2932,No-go,ParameterSource,Strict FIN sources neither q sign nor magnitude.
ST2933,Boundary,LegacyBoundary,Signed legacy loops need separate completion.
ST2934,Gate fail,FeedbackGate,Feedback type remains a sector input.
ST2935,Round verdict,RoundThreeVerdict,The exact map realizes positive/negative informational feedback conditionally.
ST2936,Recommendation,RoundThreeRecommendation,Iterate multilevel.
