program,object,status
ST218,Single-Generator Noncommuting-Layer Obstruction,proven_no_go_for_single_A_functional_calculus_and_full_dihedral_symmetric_matrix_class
ST219,Preparation-Dependent Blackwell Experiment Lattices,proven_finite_lattice_theorem_with_strong_numeric_vertex_separation_and_exact_spectral_degeneracy
ST220,Complete Invariant Gaussian/Levy Selector Classification,proven_symmetry_no_go_for_all_D12_invariant_Gaussian_and_Levy_sources
ST221,All-Signed-Fold Validated Pseudo-Arclength Continuation,proven_all_seed_finite_segment_continuation
ST222,Replayable Negative-Orientation Rotated-Pauli Recovery Certificate,proven_global_CPTP_optimum_for_non_diagonal_unitarily_rotated_Pauli_class
ST223,Fixed-Time Selector Dissipation by Interval Dynamic Programming,proven_lower_upper_bracket_for_declared_discrete_control_family
ST224,Carrier-Natural Twelfth-Response Invariant,proven_coordinate_free_transport_and_projective_invariance_theorem
ST225,Extended Adaptive Nuisance-Cover Campaign,proven_extended_complete_cover_with_explicit_method_stop
ST226,Nonlocal and Bias-Robust Compressed-Mode Minimax Bounds,proven_information_theoretic_bounds_for_declared_local_Bernoulli_model
ST227,Gap-Conditioned Nearest Joint-Qubit-Factor Theorem,proven_unique_global_projection_in_traceless_qubit_class_under_full_rank_premise
ST228,Exact Belief-Cylinder Refinement of the Observed-HMM Rate,proven_sharper_asymptotic_Hellinger_rate_bracket
ST229,Net-Energy-Conserving Bang-Bang Register Reset,proven_exact_constructive_reset_with_prepared_ancilla_and_final_energy_conservation
ST230,"Strict Diffusion, Resistance, Fisher, and Projector Metric Atlas",proven_metric_formulas_and_nonproportionality_on_the_frozen_strict_instance
ST231,Exact Isometric Diffusion-Preserving Two-Child Refinement,proven_exact_refinement_intertwiner_with_continuum_nonuniqueness
ST232,External Validation Evidence Stop,blocked_no_external_record
