program,status,object,boundary
ST972,constructed_four_mechanism_library,Persistence_ModelLibrary,Synthetic.
ST973,constructed_observable_bundle,NormVsShape_Observables,No detector.
ST974,constructed_pump_off_discriminator,PumpOff_Protocol,Pump hardware absent.
ST975,constructed_winding_perturbation_test,PhaseWinding_Protocol,Phase instrument absent.
ST976,constructed_zero_event_record,AmplitudeZero_EventLog,Raw timestamps needed.
ST977,constructed_recovery_basin_test,PerturbationRecovery_Test,No system.
ST978,constructed_noise_scaling_test,NoiseScaling_Test,Noise calibration absent.
ST979,collision_test_not_defined_without_multisoliton_law,CollisionProtocol,Theory gap.
ST980,constructed_dark_state_test,DarkState_ChannelTest,Lindblad controls absent.
ST981,constructed_charge_sector_test,ChargeSector_Test,Charge observable absent.
ST982,constructed_accessible_information_test,AccessibleInformation_Test,Tomography absent.
ST983,constructed_blind_heldout_scoring,BlindHeldout_Scoring,No events.
ST984,constructed_failure_stop,FailureStop,No publication action.
ST985,blocked_no_persistence_apparatus,ApparatusGate,All instruments absent.
ST986,blocked_no_evidence,EvidenceGate,Round five local.
