program,status,object,boundary
ST2202,Classified,DeclaredOperatorGradientFlow,"The repository formula is a family until V, C, projection and state law are sourced."
ST2203,Proven,SpectralSourceInvariantManifold,"If C and V'(K) lie in C*(K), the vector field remains in the same commutative spectral algebra."
ST2204,Proven,CommutingFlowEigenbasisBoundary,"For a simple spectrum, commuting flow changes eigenvalues but not eigenvectors; degeneracies require state data to split."
ST2205,Constructed,SelfGeneratedDephasedCovariance,Infinite-time unitary covariance of a localized state.
ST2206,Proven,DephasedCovarianceCommutator,Time dephasing is block diagonal in A's spectral projections.
ST2207,Proven,InitialStateOriginTransfer,The localized covariance changes when the prepared delta origin is translated.
ST2208,Proven,LinearHebbFixedPoint,"For dot W=eta(C-gamma W), the only fixed point is W=C/gamma."
ST2209,Refuted,StrictWIndefinitenessNoGo,"This targets positive-covariance linear Hebb with positive decay, not all nonlinear learning laws."
ST2210,Proven,OjaCompressionBoundary,"Uniform preparation gives a rank-one learned covariance; localized dephasing gives rank seven, neither derives W."
ST2211,Proven,SymmetricPreparationOutcome,The uniform state is the zero mode and carries no chiral/origin datum.
ST2212,Proven underdetermination,PotentialReconstructionFreedom,Infinitely many V can be made stationary at a chosen target K; stationarity is not derivation.
ST2213,Proven,GaussianAdaptiveClosureBoundary,Linear Gaussian state/operator evolution preserves zero connected third cumulants.
ST2214,Proven,EquivariantAdaptiveSymmetryNoGo,An equivariant deterministic recursion started in the fixed set stays in the fixed set by induction.
ST2215,Round verdict,RoundThreeVerdict,Current adaptive laws amplify or learn supplied covariance/state structure; they do not export an intrinsic odd or irreducible ternary source.
ST2216,Recommendation,RoundThreeRecommendation,Use an exact refinement counterexample to decide whether pair/coarse records can ever reconstruct hidden third-order information.
