program,status,headline
P295,[Proven] finite multi-probe injectivity when the stacked Jacobian has full rank; [Strong evidence] frozen recovery audit,multi-probe Stieltjes recovery is conditionally identifiable
P296,[Proven] exact rational Schur checks and machine-checked general staged-minimization theorem,general staged minimization is formally certified
P297,[Proven] finite complex-unitary mesh compilation; [Strong evidence] quantized tolerance audit,the strict POVM compiles to an ideal finite optical mesh
P298,[Proven] flat-band and monotone Bernstein obstructions; [Refuted] exact strict spectral completion,scalar/Bernstein spectral completion is obstructed
P299,[Proven] classical two-step Markov-order witness; [Strong evidence] finite-count tomography,multitime records distinguish a supplied memory mechanism
P300,[Proven] fixed-phase positive-denominator and positive distance-mixture no-go for strict,positive fixed-phase/path mixtures cannot produce strict
P301,[Proven] intake gate executed; [Blocked by external evidence] no accepted independent P241 event bundle,no independent external P241 bundle was accepted
P302,[Strong evidence] synthetic joint nuisance-tomography design,joint nuisance calibration yields a full-rank synthetic design
P303,[Proven] local full-rank coarea exponent; [Moderate evidence] finite-tolerance importance audit,strict fingerprint rarity has a local five-dimensional law
P304,[Proven] finite-time observational non-identifiability for an arbitrary positive time-dependent rate,finite times do not identify an unrestricted clock mechanism
P305,[Strong evidence] synthetic intervention recovery; [Speculative] FIN bridge interpretation,interventions recover a supplied completion-coordinate law
P306,[Blocked by external evidence] no independently certified physical reservoir realization,physical reservoir realization remains externally blocked
P307,[Proven] scale-orbit quotient and legacy-role invariance filter; [Refuted] unchanged physical-role transfer,legacy EM/gravity roles fail the scale-gauge filter
P308,[Proven] pointed torsor uniqueness theorem; [Blocked] no legacy physical-role transfer certificate,physical role transfer requires a pointed certificate
