program,status,new_object,boundary
P379,[Proven] exact terminal certificate predicates reflected through the Lean kernel; [Open] end-to-end algorithm reflection,O121 kernel-reflected terminal certificate,"Python still generates the rational predicates and supplies the Taylor, fifth-root, interval, and Bernstein algorithms. This shrinks but does not eliminate the trusted computing base."
P380,[Proven] exact rational primal-dual gap below 1e-7,O122 near-contact Bernstein extremal pair,"This is a classical signed-moment optimum. Near contact does not select quantum negativity, information loss, energy, or a physical coupling."
P381,[Proven] global injectivity on nonnegative integer distances,O123 global strict radial embedding theorem,The theorem concerns the frozen strict radial formula and integer graph distances. It does not identify legacy and strict kernels or transport physical roles.
P382,[Proven] one target-defined damping naturality square; [Refuted] damping atom alone completes the full kernel,O124 damping-completion natural transformation,"C_damp reads the strict exponent and scale from its target. It does not source beta/eta, repair amplitude or phase/frequency, close the generic bridge, or transfer any legacy physical role."
P383,[Proven] coordinate phase lattice gauge; [Strong evidence] no additional tested coordinate aliases; [Open] global nonlocal alias classification,O125 photonic component gauge quotient chart,"Coordinate tests do not exclude compensating, distant, multi-parameter aliases. Complex transfer tomography and a global quotient-identifiability theorem remain required."
P384,[Blocked by external evidence] no calibrated P384 photonic pilot,,"The executable repository can validate a supplied bundle but cannot manufacture physical preparation, calibration, custody separation, raw events, or an independent record."
P385,[Proven] analytic upper and feasible lower sandwich for the declared reduced heralded-loss/dephasing channel; [Open] exact lossy adaptive optimum,O126 heralded noisy-comb sandwich,"The bounds do not solve the full twelve-mode lossy comb, unheralded loss, noncommuting noise, or apparatus calibration."
P386,[Proven] conditional robust discrimination tube,O127 clock-tube discrimination envelope,"M, h, the clock anchor, and the relation between laboratory time and tau are supplied. The theorem propagates calibration uncertainty; it does not generate a clock or time unit."
P387,[Proven] explicit mathematical operational realization; [Conditional] physical preparation and calibration,O128 Jordan-sampling realization functor,"The sign is an importance-sampling record, not negative probability, destroyed information, quantum quasiprobability, or energy. A laboratory realization remains external."
P388,[Proven] no forced positive cross-conversion in the minimal free resource category; [Open] model-specific conversion laws,O129 resource conversion obstruction matrix,This is a theorem about the minimal product signature. A new FIN coupling law or typed operational encoder can add model-specific conversions and must then be audited separately.
P389,[Proven] dilation-semigroup law and invariant-selector no-go for a canonical positive outer scale,O130 outer-scale dilation torsor,"The no-go excludes canonicality from dilation invariance alone. A new normalization, RG boundary condition, apparatus resolution, or dimensional axiom could select rho conditionally."
P390,[Blocked by external evidence] no admitted independent QW hold-out,,"The executable repository can validate a supplied bundle but cannot manufacture physical preparation, calibration, custody separation, raw events, or an independent record."
P391,[Blocked by external evidence] no admitted dimensional standards bundle,,"The executable repository can validate a supplied bundle but cannot manufacture physical preparation, calibration, custody separation, raw events, or an independent record."
P392,[Blocked by external evidence] no admitted reservoir tomography bundle,,"The executable repository can validate a supplied bundle but cannot manufacture physical preparation, calibration, custody separation, raw events, or an independent record."
P393,[Blocked by external evidence] no admitted electroweak blind-test bundle,,"The executable repository can validate a supplied bundle but cannot manufacture physical preparation, calibration, custody separation, raw events, or an independent record."
