program,status,object,boundary
ST3852,Defined,EntryPerturbation,Every moment changes by at most epsilon.
ST3853,Proven,OperatorNormBound,3x3 matrix perturbation norm <=3epsilon.
ST3854,Proven,H1RepairLowerBound,Need epsilon>=|lambda_min(H1)|/3.
ST3855,Proven,H2RepairLowerBound,Need epsilon>=|lambda_min(H2)|/3.
ST3856,Proven,JointRepairBound,Both require at least max lower bound.
ST3857,Computed,RelativeSmallWeight,Relative to K(6).
ST3858,Proven,RoundingRobustness,Ordinary floating/decimal rounding far below bound.
ST3859,Boundary,ParameterUncertainty,Large model uncertainty could repair but changes frozen data.
ST3860,Conditional,PSDProjection,Nearest PSD moments define an approximation problem.
ST3861,No-go,FitTradeoff,Objective/norm selects different repairs.
ST3862,Proven,ExactMatchConflict,Exact strict match incompatible with positive mixture.
ST3863,Conditional,ApproximateMixture,Approximate exponential mixture possible after deformation.
ST3864,Boundary,RepairNotDerivation,Fitting is not a source law.
ST3865,Round verdict,RoundThreeVerdict,Moment obstruction is quantitatively robust.
ST3866,Recommendation,RoundThreeRecommendation,Legacy and signed alternatives.
