program,status,object,boundary
ST6672,Declared,falsification_minimality_legacy_role_transfer_Objective,Fifty-round master audit.
ST6673,Audited,falsification_minimality_legacy_role_transfer_EvidenceIntake,Fifty-round master audit.
ST6674,Constructed,falsification_minimality_legacy_role_transfer_TypedCandidate,Fifty-round master audit.
ST6675,Proven or scoped,falsification_minimality_legacy_role_transfer_Theorem,Fifty-round master audit.
ST6676,Recorded,falsification_minimality_legacy_role_transfer_ProofIdea,Fifty-round master audit.
ST6677,Retained,falsification_minimality_legacy_role_transfer_PositiveResult,Fifty-round master audit.
ST6678,Constructed,falsification_minimality_legacy_role_transfer_Counterexample,Fifty-round master audit.
ST6679,Completed,falsification_minimality_legacy_role_transfer_SymmetryAudit,Fifty-round master audit.
ST6680,Completed,falsification_minimality_legacy_role_transfer_VariationalAudit,Fifty-round master audit.
ST6681,Completed,falsification_minimality_legacy_role_transfer_ProbabilityAudit,Fifty-round master audit.
ST6682,Completed,falsification_minimality_legacy_role_transfer_DynamicAudit,Fifty-round master audit.
ST6683,Classified,falsification_minimality_legacy_role_transfer_StrictBoundary,Fifty-round master audit.
ST6684,Not established,falsification_minimality_legacy_role_transfer_PhysicalBoundary,Fifty-round master audit.
ST6685,Round verdict,falsification_minimality_legacy_role_transfer_RoundVerdict,Fifty-round master audit.
ST6686,Recommendation,falsification_minimality_legacy_role_transfer_NextDependency,Fifty-round master audit.
