program,status,object,boundary
ST3297,Defined,MetricScaleDelta,delta_n=r^-n.
ST3298,Constructed,PowerDepthLaw,q_n=q0 delta_n^alpha.
ST3299,Proven,GeometricQ,q_n=q0 r^-alpha n.
ST3300,Proven,CubicSummability,"sum |q_n|^3 converges for alpha>0,r>1."
ST3301,Proven,AllPositiveAlpha,No alpha=1/3 threshold for exponential depth.
ST3302,Proven,ThetaBoundedness,Prior hierarchy theorem gives finite theta limit.
ST3303,Positive,MetricInterpretation,Correctly typed as interlayer-depth decay.
ST3304,Boundary,ConductanceDimension,Calling q conductance needs a Hodge/operator law.
ST3305,No-go,Q0Freedom,q0 remains free.
ST3306,No-go,AlphaFreedom,alpha remains free.
ST3307,No-go,RFreedom,r remains free.
ST3308,Proven,SameSequenceDegeneracy,Only product alpha log r controls the geometric sequence.
ST3309,Boundary,RefinementOperatorBoundary,Exact A tensor I refinements still allow arbitrary q_n.
ST3310,Round verdict,RoundFourVerdict,Ultrametric depth organizes q_n but does not select it.
ST3311,Recommendation,RoundFourRecommendation,Eta/dimension identifiability.
