program,status,object,boundary
ST3102,Proven,FrozenDomain,Strict A uses cyclic distances 1..6.
ST3103,Boundary,BeyondSix,Dyadic n>=3 evaluates d>=8.
ST3104,Proven,FormulaVsOperator,An analytic formula can be evaluated without being an exported operator law.
ST3105,Extra premise,InfiniteExtension,Assume same kernel on unbounded distances.
ST3106,No-go,CyclicDistance,"Z12 cyclic distance never equals 8,16,..."
ST3107,Missing,RefinementMap,No strict theorem maps layer n to distance 2^n.
ST3108,Missing,DistanceScale,No physical lattice spacing.
ST3109,Boundary,PhaseAtLargeD,Oscillatory phase extrapolation unvalidated.
ST3110,Fail,StrictProvenanceGate,Infinite recurrence is not strict-provenance complete.
ST3111,Positive,ConditionalTheorem,"If extension is assumed, convergence theorem is exact."
ST3112,Strict finite result,FinitePrefixTheorem,First three q values are genuine strict weights.
ST3113,Proven,TailIndependenceBoundary,Small tail effect does not convert premise into theorem.
ST3114,No-go,DomainNoGo,Numerical harmlessness is not provenance.
ST3115,Round verdict,RoundThreeVerdict,Candidate is robust but conditional at the domain bridge.
ST3116,Recommendation,RoundThreeRecommendation,Compare legacy separately.
