event_id,run_id,timestamp_tick,atom,node,sign
SYN-000000,synthetic-reference-10.34,1,2,0.2950420036616848,1
SYN-000001,synthetic-reference-10.34,2,0,0.019826532267005523,-1
SYN-000002,synthetic-reference-10.34,3,0,0.019826532267005523,-1
SYN-000003,synthetic-reference-10.34,4,1,0.12942143496593872,1
SYN-000004,synthetic-reference-10.34,5,3,0.5266898453623859,1
SYN-000005,synthetic-reference-10.34,6,2,0.2950420036616848,1
SYN-000006,synthetic-reference-10.34,7,1,0.12942143496593872,1
SYN-000007,synthetic-reference-10.34,8,0,0.019826532267005523,-1
SYN-000008,synthetic-reference-10.34,9,1,0.12942143496593872,1
SYN-000009,synthetic-reference-10.34,10,3,0.5266898453623859,1
SYN-000010,synthetic-reference-10.34,11,3,0.5266898453623859,1
SYN-000011,synthetic-reference-10.34,12,1,0.12942143496593872,1
SYN-000012,synthetic-reference-10.34,13,0,0.019826532267005523,-1
SYN-000013,synthetic-reference-10.34,14,2,0.2950420036616848,1
SYN-000014,synthetic-reference-10.34,15,1,0.12942143496593872,1
SYN-000015,synthetic-reference-10.34,16,2,0.2950420036616848,1
SYN-000016,synthetic-reference-10.34,17,4,0.814059045463453,1
SYN-000017,synthetic-reference-10.34,18,2,0.2950420036616848,1
SYN-000018,synthetic-reference-10.34,19,0,0.019826532267005523,-1
SYN-000019,synthetic-reference-10.34,20,1,0.12942143496593872,1
SYN-000020,synthetic-reference-10.34,21,5,0.9418486479939021,-1
SYN-000021,synthetic-reference-10.34,22,2,0.2950420036616848,1
SYN-000022,synthetic-reference-10.34,23,2,0.2950420036616848,1
SYN-000023,synthetic-reference-10.34,24,1,0.12942143496593872,1
SYN-000024,synthetic-reference-10.34,25,0,0.019826532267005523,-1
SYN-000025,synthetic-reference-10.34,26,3,0.5266898453623859,1
SYN-000026,synthetic-reference-10.34,27,1,0.12942143496593872,1
SYN-000027,synthetic-reference-10.34,28,3,0.5266898453623859,1
SYN-000028,synthetic-reference-10.34,29,2,0.2950420036616848,1
SYN-000029,synthetic-reference-10.34,30,0,0.019826532267005523,-1
SYN-000030,synthetic-reference-10.34,31,2,0.2950420036616848,1
SYN-000031,synthetic-reference-10.34,32,2,0.2950420036616848,1
SYN-000032,synthetic-reference-10.34,33,1,0.12942143496593872,1
SYN-000033,synthetic-reference-10.34,34,1,0.12942143496593872,1
SYN-000034,synthetic-reference-10.34,35,1,0.12942143496593872,1
SYN-000035,synthetic-reference-10.34,36,1,0.12942143496593872,1
