program,object,status
ST94,Unique Trace-Preserving Conditional Expectation after an Observable Algebra Is Fixed,proven_relative_uniqueness_but_observable_algebra_remains_an_axiom
ST95,Complete Symmetric Graph-Laplacian Fiber over A12,proven_complete_finite_lift_fiber_classification
ST96,Petz-Recovery Frontier for Coarse/Fine Pinching,proven_exact_recovery_criterion_with_numerical_checks
ST97,Equivariant State-Dependent Twelve-Branch Selector Test,proven_constructed_state_dependent_selection_but_QW2191_remains_open
ST98,Passive State-Space Extension of the Temporal-Gain No-Go,proven_passive_state_space_no_go_in_extended_reciprocal_class
ST99,Krawczyk Certificate for the Reflection-Reduced Simple Fold,proven_source_code_interval_fold_for_frozen_binary64_operator
ST100,Z2 Spin-Holonomy Pullback through the 12-to-24-to-48 Tower,proven_spin_refinement_pullback_and_new_twist_obligation
ST101,Minimal Fine-Observable Identifiability Theorem,proven_one_scalar_fine_access_identifies_q_conditionally
ST102,Finite C*-Algebra Refinement Tower and Commuting-Square Test,proven_finite_commuting_expectation_tower
ST103,Certified Common-Contamination Subproblem and Independent-Nuisance Boundary,proven_common_nuisance_endpoint_but_full_ST103_goal_open
ST104,Thermal-Operation Hierarchy with Strict Spectral Degeneracies,proven_hierarchy_and_right_strictness_left_strictness_open
ST105,Projection-Specific Synthetic Falsification Protocol,proven_coarse_impossibility_with_strong_binary64_fine_protocol_performance
